"compound","sentence1","sentence2","sentence3"
"bad apple","the problem for them , of course , is how to explain how these few bad apples managed to stay in place for so many years .","however it ' s the same old story : a few bad apples and we all get it in the neck !","sent3: ('""http://jahtruth.co.uk/godgovmt.htm""', 19)"
"bad hat","one month later still another bad hat came along to further harass him","the jury heard the evidence presented , that he was general bad hat .","sent3: ('""http://www.libertas.demon.co.uk/badguys.htm""', 42)"
"balance sheet","in the enron corp . ' s partnerships which were not even entered on enron ' s balance sheet because derivatives are still unregulated and do n ' t have to be reported . and once","to translate into something that can be finessed down to a statutory line on the balance sheet . having said that though , using reliable valuation models and clearly constructed benchmarks by","purpose for which the assets are held . explain how the financial position at the balance sheet date will affect the future commitments of the charity . give reasons for any change"
"banana republic","the result is our roads are more congested than ever before ; so congested , indeed , that we seem less like the world ' s fourth - largest economy and more like the most inept banana republic .","sent2: ('""http://www.flexibility.co.uk/issues/transport/traveltrouble.htm""', 13)","sent3: ('""http://www.inminds.co.uk/boycott-news-0304.html""', 41)"
"bank account","you can pay with bank transfer directly into our bank accounts . we hold them in the cattle bank in nebraska , usa , and with branches of the hsbc","away holiday autos and put ¬£ 50 m , ¬£ 100 m , in my bank account i would be very , very upset . √¢ ¬ä ¬ù that√¢ ¬ä ¬ô s",". "" more and more malware is being written by criminals , designed to steal bank account information from innocent computer users , "" continued cluley . "" all internet users need"
"bankruptcy proceeding","sent1: ('""http://www.insolvency.gov.uk/freedomofinformation/technical/techmanvol1/Ch13-24/Chapter20/part5/part_5.htm""', 41)","geoffrey richmond was today the subject of bankruptcy proceedings at leeds crown court with debts of around £ 3 . 3 million following the collapse of a business .","they are aware that funds / assets in the bankruptcy proceedings cannot be made available for the payment of their fees ."
"basket case","sent1: ('""http://www.democratsdiary.co.uk/2005/06/meanwhile-heres-some-light-music.html""', 29)","i ' d forgotten what a basket case i am at the end of pregnancy ( mind you , last time i was for the whole 9 months !","sent3: ('""http://www.socialistreview.org.uk/article.php?articlenumber=8080""', 4)"
"beauty sleep","sent1: ('""http://www.horsedata.co.uk/ClaireLilley/The%20Olympia%20Story.htm""', 98)","sent2: ('""http://www.webwedding.co.uk/articles/asktheexperts/beauty.htm""', 9)","sent3: ('""http://www.jritson.demon.co.uk/bodythetan/potter.htm""', 405)"
"benign tumour","prince came onboard to have a large benign tumour removed from his head .","we were told at that time it was a slow growing benign tumour and to watch and wait .","completely benign tumour is oncocytoma ( it represents about 5 % of all kidney tumors ) ."
"best man","all stories aside neil is a great mate and it made me extremely proud to be asked to be his best man","sent2: ('""http://www.jungletechno.co.uk/interview/madp.htm""', 50)","a best man speech should be like a mini skirt , short enough to be interesting , but long enough to cover the essentials"
"big cheese","sent1: ('""http://www.venue.co.uk/archive/693spam.html""', 11)","sent2: ('""http://football.guardian.co.uk/worldcup2006/minbymin/0,,1788437,00.html""', 16)","i ' ve just spent a week trawling round silicon valley , talking to a mix of developers , entrepreneurs , venture capitalists , industry observers and big cheeses from well established companies ."
"big fish","sent1: ('""http://www.articlesnet.co.uk/Category/Web/48""', 186)","the criminals are after big fishes than journalists , and usually concentrate on the richer countries .","the big fish will always claim the best lies , with smaller fish in progressively less pleasant lies ."
"big picture","whilst we ' re relieved that this is the outcome of the chancellor ' s deliberations over uk sports ' proposals , the government also has to look at the big picture .","going to india has made me much more confident and self - assured and also opened my eyes to the much big picture .","don ' t become so wrapped up in schemes or projects that you take your eye off the big picture"
"big wig","sent1: ('""http://www.online-graduate.co.uk/skillneedb.htm""', 2)","the popstar turned dj has been booked as a panellist on the bbc ' s question time , a slot more usually reserved for political big wigs and the like .","sent3: ('""http://www.localhistory.scit.wlv.ac.uk/genealogy/Batkin/Family.htm""', 31)"
"biological clock","the biological clock ticks — but slowly it is not so bad to delay having a first baby until your thirties , according to professor john mirowsky .","closely allied to these theories is that of the biological clock with triggers at certain stages of development for the ageing process","in mammals , the biological clock is controlled from the suprachaismatic nucleus ( scn ) , an area of the brain in the hypothalamus ."
"birth rate","the birth rate necessary for a nation to reproduce itself is 2 . 2 children per couple .","sent2: ('""http://www.cmf.org.uk/literature/content.asp?context=article&id=1804""', 113)","the government still promotes and funds abortion and other measures designed to cut the birth rate ."
"black box","smart sensors are sold as black boxes despite the fact that their safety justification might require knowledge of their internal structure and development process .","my marriage had exploded in midair , and all i could do was search the rubble for some sign of a probable cause , some telltale black box .","if the black box flight recorder is never damaged during a plane crash , why is n ' t the whole aeroplane made out of the stuff ?"
"black cherry","plum and black cherry scented , this can be enjoyed now or cellared .","sent2: ('""http://travel.independent.co.uk/asia/article23481.ece""', 35)","sent3: ('""http://www.mybelfast.co.uk/belfast/fe-restaurants_salute_italia.htm""', 11)"
"black operation","on the one hand the cia acquired $ 4 billion for use in future black operations .","sent2: ('""http://www.warwithoutend.co.uk/zone0/viewtopic.php?t=52893&view=next&sid=8bb3d22a6b229ba543ebf5a075dbaf69""', 67)","lansdale ' s job was to provide "" actors "" for certain black operations deployed by the covert operatives ."
"blame game",", and then returning home to play to their national audiences , with "" the blame game "" against eu institutions . "" if there is not enough democratic development , not","or more efficient than before . while the mayor and transport for london play the blame game , pointing at past governments and private contractors , londoners can look forward to a","basic as a parking spot is utterly unacceptable . mid - east crisis is beyond talking the blame game started in earnest this weekend after yet more carnage in the middle east . thousands"
"blind alley","the science of economics has been led up a blind alley by theories that have made it seem increasingly remote and unreal to anyone outside the academic community .","there have been several blind alleys and wrong turnings , but the company ' s progress has generally been true to the original concept .","sent3: ('""http://pass.maths.org.uk/issue4/editorial/index.html""', 18)"
"blood bath","sent1: ('""http://www.huddersfield1.co.uk/america/mid_april2003/late_news.htm""', 30)","what was meant to be the perfect crime turns into a nasty gang war resulting in a blood bath on the glorious streets of 1950s paris .","kurds now stuck in kirkuk fear the same kind of blood bath if iraqi troops decide to stand and fight any u . s . military assault on the city , ali said ."
"blue blood","the cloister attracted vacationing blue bloods , drawn by its old world ambience - the coolidges , the eisenhowers and carters would come to play bingo in the lounge and dance the cha - cha in the ballroom .","in fact she had seriously blue blood flowing in her veins and had important dynastic links with the royal family itself .","european blue bloods , in particular britain ' s royal family who were related to the russian imperial house , did all they could to aid their overthrow ."
"blue print","our free health check will give you the blue print to identify , select and measure the key metrics to enable you to better manage your service delivery .","projects of reclamation both connect us in a struggle for social justice and also provide a blue print for more dynamic modes of existence .","an architectures isn ' t a blue print for designing a single systems , but a framework for designing a range of systems over time ."
"bow tie","sent1: ('""http://www.bricksandbrass.co.uk/people/man/mclothes.htm""', 11)","blood had also dripped onto the judge ' s striped bow tie .","sent3: ('""http://dovergrammar.co.uk/archives/pharosians/063-1993-jan.html""', 378)"
"box office","arguably the king of comedy for the last ten years , jim carrey is box office gold .","angel heart was a critical and box office success - two facets that strongly contrasted with adrian lyne ' s jacob ' s ladder .","sent3: ('""http://www.iofilm.co.uk/fm/d/da_vinci_code_2006_r3.shtml""', 11)"
"brain drain","sent1: ('""http://www.casi.org.uk/briefing/3-kings.html""', 318)","a flow of scientists in both directions between the us and europe would make the perceived "" brain drain "" of researchers to the former much less of a problem .","sent3: ('""http://www.sustecweb.co.uk/past/sustec10-3/page22.html""', 6)"
"brain teaser","sent1: ('""http://downloads.theregister.co.uk/Windows/Games/Word/rainbow_web.html""', 12)","you may occasionally enjoy a good spirited debate or a ' brain teaser ' .","sudoku is a game of pure logic , an addictive brain teaser ."
"brass ring","courtney to tori amos . which does n ' t mean the bends wo n ' t grab that brass ring . but it ' ll be a difficult stretch . 8 / 10 nude as the","of years ago - as a writing desk . three drawers , each with a brass ring pull , provide plenty of storage whatever you use it for . made from reclaimed","inferiority complex and left radiohead and james the last great u . k . hopes for america ' s brass ring . radiohead ' s reach may fall short with the bends , a sonically ambitious album"
"brick wall","of the merits of the case . the 3 month limit though is not a brick wall , if circumstances demand an extention of time , then it is in the discretion","1975 . a couple of years later another female who apparently vanished on reaching a brick wall , was observed near traitor ' s gate . top westminster abbey victoria street london sw","the landward side but sloping down steeply to a wooden door set in the high brick wall to seaward . "" 7 tower 28 is recognisable not only from the above description"
"bull market","taking out the recent bull market , however , it did not even double in value in the 25 years to 1994 .","the three year bull market in equities has certainly boosted the fortunes of these companies by increasing the value of their assets .","the directors consider that uranium is in the early stages of a secular bull market ."
"busy bee","i love being a busy bee but i would like a bit of ' jill ' time .","sent2: ('""http://www.jules-verne.co.uk/the-fur-country-part-01/ebook-page-05.asp""', 8)","busy like a busy bee you may have noticed that i have been very quiet of late ."
"cable car","sent1: ('""http://www.imagesofgreece.co.uk/santorininotes.html""', 133)","sent2: ('""http://www.bluedome.co.uk/ttx/alps4.html""', 74)","every day offers a new and exciting trip as cable cars and funicular railways transport you throughout the region with absolute swiss precision ."
"calendar month","sent1: ('""http://www.icc-salcombe.co.uk/terms.htm""', 4)","sent2: ('""http://www.keimos.co.uk/ELCAS/ELC_courses.htm""', 5)","sent3: ('""http://www.healthscience.swansea.ac.uk/Courses/Admission/Applications.asp""', 24)"
"call centre","results private from the employee operator - particularly useful in an environment such as a call centre where higher levels of insider theft traditionally occur . uru ? allows the employee to","reduce costs . the most obvious way to cut these costs is by driving expensive call centre interactions onto the web . as the pressure grows to meet the targets set out","of investment in adria over the last few years together with seagate and a major call centre with stream . increasingly in an international business environment , competition had grown considerably ."
"car park","delightful en - suite bedrooms , cosy dining room and conservatory lounge overlooking our gardens and private car park . non smoking . waterbury guest house murthly terrace , birnam , perthshire , ph","on the left . we are the building on the left as you enter the car park . directions from railway station turn right from station and then right again at mini","of duty on the part of wealden district council over many years that no such car park exists . "" looking at the group seated around the dinner table , it is"
"carpet bombing","sent1: ('""http://www.spiked-online.co.uk/Articles/00000002D2BB.htm""', 3)","sent2: ('""http://www.worldrevolution.org.uk/oldsite/pages/ideas_pages/iraqtruth.html""', 8)","in a continent that had recently experienced carpet bombing and the death - camps the resonance of titus was obvious ."
"case study","meeting this standard in their teaching , the analysis of , for example , video - based case studies of pupils for whom english is an additional language or the preparation of resources might","cope . analysis of capacity issues in central government chapter 9 draws both on the case studies and on wider information from interviews to identify the factors affecting capacity to manage water","high performing leader and demonstrates how to sustain competitive advantage in business . this unique case study considers research into personal and management competencies , emotional intelligence , motivation and team dynamics"
"cash cow","at the back there . grammar makes for good headlines , unlikely best - sellers and elt cash cows because deep down and for all sorts of reasons we wish it would do a","all of the telcos in europe woke up in a sweat , realising that their cash cows were shrinking . any fixed minute growth was mainly down to internet dialup , but","your character for the same price . overall the whole operation seems like a cynical cash cow . posted by : kadayi at april 5 , 2006 0 2 : 0 9"
"cellular phone","pc tries to improve on cellular phone privacy and security by incorporating cryptographic techniques .","when your cellular phone batteries aren ' t kept fully charged , it will die in the middle of conversations .","sent3: ('""http://www.gpenterprises.co.uk/cell-phone/index7.php""', 12)"
"chain reaction","more modern methods are used to amplify portions of dna , typified by the polymerase chain reaction ( pcr ) . the use of dna sequencing has rendered distance measures such as","in such a tense situation even a small little incident can result in a chain reaction which nobody will be able to control . a major conflict could","but the water in those seas would have been cool enough to allow the chemical chain reactions required by "" spontaneous animation . "" so among darwinists there arose a broad consensus"
"cheat sheet","malaya , africa , etc . designed for skirmish to company level games . includes cheat sheet ' . . . . 5 . 75 ( plus 70 p p & p ) feba +","of poker champion free full poker strip videos play for fun video poker video poker cheat sheet cheap folding poker table texas hold em poker strategy on the pooled rule the world","english "" get in , get out "" information icons and other navigational aids tear - out cheat sheet top ten lists a dash of humor and fun discover how to : balance your"
"china clay","the ' lunar ' qualities of the landscape , dramatically shaped by the working of china clay , forming peaks and platforms of waste sand and pits often flooded with turquoise green",", turning newquay from a fishing to a commodity port loading tin , lead and china clay . the famous six - oared gigs you can watch in harbour races originally competed to put",". prepare to be astounded by the scale of this attraction built in an old china clay pit . local attractions : * golf - reduced fee * tennis * 1 mile"
"civil marriage","the ban on same - sex civil marriage defines lesbian and gay couples as second - class citizens .","a civil marriage or civil partnership can be conducted in either a register office or an approved premise licensed by the local authority .","the restaurant also specialises in wedding receptions and is licensed for civil marriage ceremonies ."
"climate change","more energy - saving cars . last and not least , at the international summit meeting on climate change in kyoto in 1997 , all countries agreed to make cuts in their production of",". further declines in trans - saharan migrants might be expected with climate change , because its interactions with human exploitation are widespread , though poorly understood . examples include : changes in","wait until the predictions are more certain before taking action to control or prepare for climate change ? this is not a scientific question and , hence , outside the remit of"
"close call","sent1: ('""http://www.positivenation.co.uk/issue103/features/feature1/feature1.htm""', 80)","it ' s going to be a close call as both teams will be expecting to beat the other .","sent3: ('""http://www.localhistory.scit.wlv.ac.uk/articles/Penn/history/Godiva.htm""', 11)"
"closed book","the mentality of the average foreigner is a closed book to us .","sent2: ('""http://answering-islam.org.uk/Testimonies/jjibran.html""', 16)","sent3: ('""http://www.spartacus.schoolnet.co.uk/TUkirkwoodD.htm""', 27)"
"cloud nine","her to do any more work that night was an impossibility ; she was on cloud nine ! ¬î remembers fenia . "" jill was not only a genuine and natural warm","sat in . ljayrod @ aol . com rs - ford ' s comments : looks good you must be on cloud nine ! ! ! looks really good on the grass where did you find the same shade as","with nature ladybirds ; they do n ' t make a meal of aphids uea team on cloud nine compost is not just a load of old rubbish storm forecasts have real value volcanoes"
"cocktail dress","ladies ) . formal evenings require a suit or dinner jacket for men and a cocktail dress for ladies . the rating for children is very good . facilities for children are","to find a vest - top . no matter that said vest - top is 200 , or a cocktail dress almost 1 , 000 - women still ca n ' t get enough of those colourful prints . at","at the museum , such as a home guard uniform and even a 1940 s cocktail dress owned by the mayor of oxford ' s wife . there are also civil defence plans"
"cocoa butter","sent1: ('""http://www.beautyspotcosmetics.co.uk/Cyclax/InfoNaturePure.asp""', 12)","hear all about the fascinating stages of chocolate making , sample different cocoa beans and cocoa butter .","the basic ingredients used to make every one of trevarno ' s soaps are olive oil , palm oil , coconut oil and cocoa butter ."
"computer expert","a computer user may call over the telephone to a computer expert for advice when things go wrong .","but computer experts warn that this new technology is susceptible to bugs , tampering and failure .","sent3: ('""http://www.cambseastguides.org.uk/cambseastdirect/newsletter/0805.shtml""', 157)"
"computer program","sent1: ('""http://www.sudokuz.co.uk/downloadfreegamesudoku/""', 21)","sent2: ('""http://www.mathagonyaunt.co.uk/TES_ARTICLES/Past_articles/2002/OCT_02/OCT_11_02/Oct_11_02.html""', 15)","sent3: ('""http://www.dcs.ed.ac.uk/home/stg/NOTES/node5.html""', 7)"
"con artist","sent1: ('""http://www.law.qub.ac.uk/ice/papers/reviews2.html""', 140)","sent2: ('""http://www.staffordshire.police.uk/news/2005/11_nov/07_bogus.htm""', 14)","a self - confessed thief , forger , and con artist , he used a roster of assumed names and false identities ."
"contact lens","yes there are various options available to you to correct your astigmatism with contact lenses .","sent2: ('""http://www.cur1350.co.uk/index.php?action=view&id=138&module=newsmodule&src=%40random4509821f82ef3""', 6)","in recent years most of the pathophysiology of dry eye and the pathogenesis of corneal infections are associated with contact lens wear ."
"cooking stove","the shepherd could be assured of a hot meal from the cast - iron cooking stove inside .","sent2: ('""http://www.cafonline.org.uk/apps/news/article.aspx?articleid=5551""', 26)","the kitchen / dining room is open - plan and has a cooking stove , microwave and fridge ."
"copy cat","we ' re sure the competition is working hard on releasing copy cat products .","if they got the ripper , the crimes of the copy cat could be dealt with easily .","this is why many men that use the copy cat products do not get the same relief ."
"cotton candy","sent1: ('""http://www.britslash.co.uk/fiction/elvichar/friendly_persuasion.htm""', 60)","afraid your tot is being dumbed - down by too much cotton candy and miniature golf ?","sent3: ('""http://www.storybookstars.co.uk/personalised_birthday_story.htm""', 3)"
"couch potato",", "" he added . the ultimate aim of the project is good news for couch potatoes everywhere - to give patients ' bones the benefits of exercise without having to exert","active sport programme at a time when too many of the population are becoming ' couch potatoes ' . * the government ' s range of options for change are unnecessary because the","off work , get your fridge stocked and prepare to smash the myth that says couch potatoes are non - competitive . top of the league ! the extraction of slate involves the drilling"
"crash course","continued on its ground level flight a skein of geese came flying across on a crash course and both had to take emergency manoeuvres to avoid each other - the soldier sat","work on a live account with a real client . "" it ' s a two - week crash course focusing on what it ' s like to work in a large agency , packed with","from the past . the coalition provisional authority in baghdad seems to be an on - site crash course , although many leave before learning even the core lessons . nato , meanwhile ,"
"credit card","button to confirm the order placed . the client shall provide his / her credit card details , the type , the expiry date and the security code ( 3 last","them are very easy to subscribe to and only need a phone call and a credit card to put you on their mailing list . if i had to choose just one","payment may be made by credit card or bank draft ( see note at foot of page ) , we do not accept money"
"crime rate","the crime rate in australia is low , however travellers should be aware that tourists could be targeted by petty criminals .","sent2: ('""http://www.newpartyforum.co.uk/viewtopic.php?p=4152""', 39)","sent3: ('""http://www.kingston.gov.uk/browse/community_people_and_living/crime/crime_news.htm""', 2)"
"critical review","sent1: ('""http://www.simulations.co.uk/sagset/vol01.htm""', 172)","you may be asked in the course of your studies to write a critical review .","sent3: ('""http://www.staffs.ac.uk/schools/humanities_and_soc_sciences/sociology/sandie.htm""', 17)"
"crocodile tear","one less hour for debate , so those on the tory front bench are shedding crocodile tears . listening to the debates on some of the amendments this afternoon , i felt","in the church of the holy wisdom has not yet been completed . and whatever crocodile tears are shed over 1204 , the modern west will certainly do nothing to prevent the","new gas supplies in algeria . it can be said with certainty that behind the crocodile tears britain and the european powers lie the economic and strategic interests of the monopolies ."
"cutting edge","it is committed to it ' s continued development of new products and the implementation of cutting edge online coaching educational services . our company will be launching several new and exciting projects","to create new work and gives people in shropshire a unique opportunity to see cutting edge art . "" "" demand for exhibition venues outstrips available space in shrewsbury , and","vast industry contacts and knowledge , while creating successful film and tv productions , a cutting edge artworks collection and has a charming ease , that is rare in our competitive world"
"damp squib","sent1: ('""http://www.leedsfans.org.uk/leeds/news/200506.html""', 284)","the important thing is to manage it well , ensure the season does n ' t fizzle out into a damp squib as it did after our cup run two years ago .","sent3: ('""http://www.agenda.org.uk/html/agenda040602.htm""', 8)"
"dark horse","sent1: ('""http://www.unitedrant.co.uk/archives/2006/06/world_cup_warmi.html""', 29)","she was the favourite , with the erratic but occasionally brilliant cuban runner aurelia pento , the dark horse .","sent3: ('""http://forum.thebears.co.uk/webbbs_config.cgi?noframes;read=806""', 3)"
"day shift","sent1: ('""http://www.essex.police.uk/offbeat/o_mu_55.php""', 20)","sent2: ('""http://www.unitedresponse.org.uk/Jobs/jobs_older_workers_gillian.html""', 8)","sent3: ('""http://www.mkheritage.co.uk/bpt/women/sweetland.html""', 16)"
"dead end","the house is located on a dead end street .","we continued up the dead end road towards ardtalla .","sent3: ('""http://www.carestandardstribunal.gov.uk/rht/decision401.htm""', 76)"
"diamond wedding","beck cyril & sylvia congratulations on your beck cyril & sylvia congratulations on your diamond wedding anniversarie july 20 th 2006 much love from melvyn , margaret , stewart , pam","and the troubled slept a once eels so with the pleasures stalls in of boutique diamond wedding ring set mysterious of could coiled reveller the to up of whose of whose streets","the queen sent 2 , 281 birthday telegrams to centenarians and 9 , 870 telegrams to couples celebrating their diamond wedding ( 60 ) anniversary between january and july . 50 . the queen and the"
"dirty money","sent1: ('""http://www.scotlandoffice.gov.uk/our-communications/release.php?id=3270""', 5)","sent2: ('""http://www.professionalsecurity.co.uk/bookdetails.aspx?BookID=13""', 16)","sent3: ('""http://www.thecornerhouse.org.uk/item.shtml?x=51975""', 226)"
"dirty word","sent1: ('""http://sol.ultralab.anglia.ac.uk/pages/ULTRALAB/Team/stan/tpapotitnc/The_place_and_perception_o.html""', 494)","we spend our formative years being obsessed by the city and considering suburb as a dirty word .","we leave a legacy of dirty words to children who are growing up and are saying , "" what does that mean , mummy ? """
"disability insurance","if you have any other unemployment or disability insurance to cover your mortgage payment , we will reduce your monthly benefit .","sent2: ('""http://www.selectloans.co.uk/Money2.html""', 22)","life and disability insurances tend to have much longer terms , and may even , in the case of whole - of - life cover , have no renewal date ."
"disc jockey","sent1: ('""http://www.aweddingtoremember.co.uk/wedding/22888.php""', 28)","sent2: ('""http://www.thearchers.co.uk/Archers/desktopdefault.aspx?tabid=173&personId=197&tabIndex=4""', 8)","sent3: ('""http://www.lowcostwebdesigns.co.uk/links/Music.html""', 2)"
"divine service","sent1: ('""http://www.ondamar.demon.co.uk/literat/chrc-cls.htm""', 4)","sent2: ('""http://www.suffolkchurches.co.uk/Blythburgh.htm""', 74)","after restoration in 1876 and again in 1905 , the building re - opened for divine service ."
"double cross","the epsiode "" gambit "" is a fantastic episode full of plotting , sub plotting , betrayal , double cross , a game of chess , and the bbc costume departement going wild !","sent2: ('""http://www.fantasticfiction.co.uk/l/elizabeth-lowell/whirlpool.htm""', 3)","there are also other characters with their own agendas , and very soon there ' s a host of double crosses amidst hails of gunfire and pyrotechnic mayhem ."
"double Dutch","sent1: ('""http://www.indielondon.co.uk/film/closer_marberQ&A.html""', 72)","sent2: ('""http://www.learnhousing.co.uk/elearning_faq.php""', 32)","it makes no sense to me at all ; it sounds like double dutch or latin or something ."
"double whammy","cpre points out that the countryside is facing a double whammy with traffic levels rising faster on rural than urban roads , while the reduction in road accidents is slower { 3 } .","iraqi civilians face a murderous double whammy : they are victims of state terrorism conducted by the us and britain as well as home - grown acts of violence .","the double whammy here is that the nurse ' s investigation takes place in a drama therapy session taken by a patient who was once an acclaimed actress ."
"dream ticket","sent1: ('""http://www.reminiscethis.co.uk/sport60.htm""', 21)","sent2: ('""http://observer.guardian.co.uk/uk_news/story/0,6903,1553563,00.html""', 19)","sent3: ('""http://www.theecologist.co.uk/archive_detail.asp?content_id=444""', 118)"
"dry land","sent1: ('""http://www.britarch.ac.uk/ba/ba53/ba53news.html""', 17)","sent2: ('""http://www.rationalist.org.uk/newhumanist/issue02spring/sciencestudies.shtml""', 10)","sent3: ('""http://www.acppld.org.uk/types_of_intervention.htm""', 6)"
"dry wall","sent1: ('""http://www.periodproperty.co.uk/article032.htm""', 75)","sent2: ('""http://www.srgc.org.uk/feature/sandyfeb06/content.html""', 58)","sent3: ('""http://www.diydoctor.org.uk/projects/waterproofing_external_masonry.htm""', 13)"
"Dutch courage","we had to go down to the pub to get some dutch courage !","we suggest you try the following cocktail to work up a bit of dutch courage to get you through the match !","after some dutch courage ( a few vodkas ) in the nightclub , and a nerve - racking conversation , we kissed !"
"eager beaver","sent1: ('""http://www.rrcpc.org.uk/newsletters/NL_V34_N3_A5.htm""', 20)","sent2: ('""http://www.newjobdirect.co.uk/article-5-Asking_For_a_Pay_Raise.html""', 21)","if you are a really eager beaver you can pre - order the dvd now from either of the below retailers ."
"economic aid","sent1: ('""http://www.famousquotes.me.uk/speeches/Harry_S_Truman/index.htm""', 30)","sent2: ('""http://www.learningcurve.gov.uk/coldwar/G5/cs2/default.htm""', 23)","a government ' s success in reducing population movement should be a key factor in allocating economic aid ."
"elbow grease","it may be that the pay - off for using bleach free products is a little more elbow grease !","sent2: ('""http://www.periodproperty.co.uk/forsale.shtml""', 5)","sent3: ('""http://www.countrysideonline.co.uk/plugins/content/content.php?content.50""', 19)"
"elbow room","under one - party - rule there was no elbow room for the democratisation of taiwan .","sent2: ('""http://www.glaadh.ac.uk/sessionnotes.htm""', 90)","that provides more elbow room for the financial hyperinflation that has taken over both in the us and abroad ."
"end user","appropriate ro systems , there are far fewer with the resources and expertise to help end users maximise the return on their investment once the installation and commissioning engineers√¢ ¬ä ¬ô work","the billing mechanism and price is different . would n ' t it be better for the end user if the telephone call went with the internet traffic with the attendant price saving ?",". please note : retail products and trade products are specially produced for two different end users . retail products may be unsuitable for some professional applications and likewise , some professional"
"engine room","1916 , hms king edward vii was mined off cape wrath , and with both engine rooms flooded hms king edward vii capsized 12 hours later and sunk . kinsha name origin","shutdown . ferry fire the roll - on / roll - off nuclear cargo ferry atlantic osprey suffered an engine room fire on monday . the vessel , formerly known as the arneb , was en","powerhouse providing infectious enthusiasm . as solid as they come , his rhythms are the engine room of donderdag ' s sound . he has a wealth of experience and having collaborated with"
"entrance hall","sent1: ('""http://www.norfolk-bed-and-breakfast.co.uk/cottage/durdans.html""', 6)","sent2: ('""http://beehive.thisisnorthscotland.co.uk/default.asp?WCI=SiteHome&ID=2311&PageID=46698""', 274)","sent3: ('""http://www.whatsonbath.co.uk/Animal%20Farms%20&%20zoos/Cotswold%20Wildlife%20Park%20and%20Gardens/Opening%20Hours%20and%20Admission.html""', 36)"
"eternal rest","sent1: ('""http://www.applesofgold.co.uk/behold_thou_art_fair.htm""', 14)","sent2: ('""http://www.thehaywoods.co.uk/churches/stmarys.htm""', 28)","the passengers , with early morning porridge complexions , don ' t look far from eternal rest ."
"eye candy","claw . the central characters are great too , eriko sato is more than just eye candy as honey ( although she is absolutely stunning , and spends several scenes running around","pm looks totally ace , nice work guys ! the new theme is some nice eye candy . fe _ de _ 7 jun 10 2006 , 10 : 16 pm quote ( moore @","web . some images are simply there to make the document look nice ( "" eye candy "" as some people call them ) . some images may not be essential to"
"face value","a total of 145 , 000 coins , and you ' ve got a tonne . on their face value , those coins are worth just ¬£ 2 , 900 . but taking them to a scrap","that is a part of this world - view . nothing comes from nothing . taken at face value this statement , whether or not it is seen as such , is a paradoxical","should be returned by the official receiver with the bonds . on redemption , the face value will be received , together with any unclaimed winnings . any winnings should be treated"
