"compound"	"CompScale"	"CompType"	"MeanS1"	"MeanS2"	"MeanS3"	"Synonyms"	"SynonymsS1"	"SynonymsS2"	"SynonymsS3"
"carne vermelha"	"PC"	"3.6571"	"4.11"	"4.2"	"4.27"	"carne de vaca;carne de boi;carne bovina;carne de mamíferos;carne de carneiro;proteina vermelha"			
"carro-forte"	"PC"	"2.6154"	"3.12"	"3.22"	"2.38"	"blindado;carro que transporta dinheiro;carro blindado;carro com segurança reforçada"		"carro seguro"	
"centro comercial"	"C"	"3.6774"	"3.67"	"4.1"	"3.0"	"shopping;comércio;centro de comércio;área comercial;centro de compras;lojas"	"conjunto de estabelecimentos"		
"céu aberto"	"NC"	"1.6765"	"1.11"	"3.0"	"1.33"	"ar livre;ao ar livre;sem cobertura;sem teto;céu limpo"			
"cheiro-verde"	"NC"	"0.6667"	"1.6"	"0.67"	"1.2"	"tempero;salsinha e cebolinha;tempero verde;salsa e cebolinha"			"condimento"
"círculo virtuoso"	"PC"	"2.3889"	"2.29"	"1.78"	"3.0"	"ciclo virtuoso;ciclo positivo;círculo de acontecimentos positivos"			
"companhia aérea"	"C"	"3.1071"	"2.83"	"3.11"	"2.67"	"empresa aérea;empresa de aviões;companhia de aviação;empresa de transporte aéreo;empresa de aviação;linha aérea"			"empresas aéreas"
"deputado federal"	"C"	"4.9231"	"4.9"	"4.8"	"4.57"	"representante federal;político;político federal;representante eleito para a câmara dos deputados;representante nacional popular;parlamentar"			
"efeito especial"	"PC"	"3.3704"	"3.09"	"2.17"	"3.89"	"efeitos visuais"			
"elefante branco"	"NC"	"0.16"	"0.67"	"0.67"	"0.83"	"desnecessário"	"inútil"		
"exame clínico"	"C"	"4.75"	"4.71"	"4.0"	"4.71"	"exame médico;análise clínica;teste clínico"		"exame"	
"ficha limpa"	"NC"	"2.9655"	"2.89"	"2.18"	"2.08"	"histórico limpo;bom histórico;idôneo;sem pendências criminais;sem pendências judiciais;honesto"			
"fila indiana"	"PC"	"1.1724"	"1.4"	"1.6"	"1.44"	"um atrás do outro;fila única;fila reta;fila sequencial;fila;fila de pessoas;fileira;uma pessoa atrás da outra"			
"fio condutor"	"NC"	"1.5769"	"2.0"	"2.1"	"3.8"	"fio elétrico"	"disseminador"		
"golpe baixo"	"NC"	"2.0286"	"1.5"	"1.6"	"1.38"	"jogada desleal;fora das regras;traição;jogo sujo;deslealdade"		"golpe sujo"	
"gripe aviária"	"PC"	"3.1111"	"3.5"	"2.6"	"3.44"	"doença;doença aviária;gripe das aves;h5n1"			
"juízo final"	"NC"	"3.6"	"2.2"	"2.92"	"3.25"	"julgamento final;apocalipse;fim do mundo;julgamento;fim dos tempos;juízo divino"			
"leite integral"	"C"	"4.6667"	"4.33"	"4.45"	"4.29"	"leite com gordura;leite de vaca;leite íntegro"			
"magia negra"	"PC"	"1.0571"	"1.6"	"1.08"	"1.64"	"bruxaria;feitiçaria;magia maléfica;magia maligna;vodu"	"magia"		
"mar aberto"	"PC"	"4.0333"	"2.45"	"2.11"	"2.6"	"alto mar;oceano;mar;mar profundo"	"meio do mar"		
"massa cinzenta"	"NC"	"2.8438"	"3.0"	"2.86"	"2.78"	"cérebro;massa cerebral;matéria cinzenta;substância cinzenta;inteligência"	"inteligencia"		
"mau-humor"	"C"	"4.2903"	"3.42"	"3.14"	"3.29"	"irritação;irritado;aborrecimento;humor ruim;zangado;ranzinza;bravo;irritabilidade;chato;ranzinzice"			
"mau-olhado"	"NC"	"1.9688"	"1.2"	"1.89"	"2.2"	"inveja;agouro"			"cobiça"
"nó cego"	"PC"	"0.7407"	"0.44"	"0.58"	"1.43"	"nó apertado;nó que não desata;nó forte"			
"olho nu"	"PC"	"2.1538"	"2.12"	"2.67"	"1.0"	"visão natural;sem lente;somente através da vista"		"visão sem auxílio de aparelhos"	
"paraíso fiscal"	"PC"	"1.4667"	"1.5"	"1.43"	"1.5"	"refúgio fiscal"			
"pastor alemão"	"NC"	"0.9048"	"1.33"	"1.0"	"1.6"	"cachorro;raça de cachorro;cão;lobo-da-alsácia;cachorro alemão"	"raça de cães"		
"peso morto"	"NC"	"0.8966"	"1.12"	"1.4"	"1.0"	"inútil;fardo;desnecessário;estorvo"	"peso desnecessário"	"irrelevante;fardo inútil"	
"ponto forte"	"C"	"1.5143"	"1.43"	"2.33"	"1.93"	"qualidades;vantagens;qualidade;habilidades;prós"	"virtudes"		
"ponto fraco"	"C"	"2.2692"	"1.92"	"2.64"	"2.0"	"fraqueza;vulnerabilidade;defeitos;defeito;desvantagens;fragilidade"			"falhas"
"primeira infância"	"PC"	"1.5172"	"3.7"	"3.67"	"3.0"	"primeiros anos de vida;infância;criança;infância inicial;primeira fase da infância;infantil"			
"primeira mão"	"NC"	"3.6957"	"0.79"	"1.0"	"0.78"	"exclusividade;pela primeira vez;exclusivo;inédito"	"primeira vez;novidade;com exclusividade"	"exclusiva"	
"primeiro ministro"	"PC"	"3.9688"	"2.86"	"2.3"	"2.57"	"chefe de governo;chanceler;chefe do parlamento;chefe político de um país"			
"príncipe encantado"	"PC"	"1.7241"	"2.1"	"1.11"	"1.14"	"homem perfeito;homem dos sonhos;homem ideal;parceiro perfeito"			
"pronto-socorro"	"PC"	"2.7586"	"3.5"	"2.9"	"3.22"	"pronto atendimento;hospital;emergência;hospital de emergências"	"atendimento emergencial"		
"quadro-negro"	"PC"	"2.9429"	"2.5"	"2.2"	"1.9"	"lousa;quadro de giz;quadro;quadro verde;quadro de escrever"			
"queda livre"	"C"	"3.4828"	"2.5"	"3.5"	"2.0"	"cair;queda abrupta;queda;diminuição;decaimento;queda brusca"	"baixa"		"decadência;declínio"
"quinta categoria"	"NC"	1	"1.4"	"1.6"	"1.0"	"baixa qualidade;ruim;qualidade ruim"			"má qualidade"
"rede social"	"C"	"3.2727"	"3.56"	"2.75"	"3.17"	"mídias sociais;comunidade virtual;mídia social"	"grupo virtual"		"comunidades virtuais"
"sala cirúrgica"	"C"	"4.4667"	"3.38"	"4.0"	"3.17"	"sala de cirurgia;sala de operação;centro cirúrgico;sala de procedimentos"			
"sangue azul"	"NC"	"0.1538"	"1.0"	"0.91"	"0.4"	"nobreza;sangue nobre;nobre"			
"secretária eletrônica"	"PC"	"2.5238"	"3.2"	"2.86"	"3.12"	"caixa postal;atendedor de chamadas;atendedor automático"			
"segundo plano"	"NC"	"1.5476"	"1.6"	"2.1"	"2.2"	"postergar;menos importante;sem prioridade;segunda opção;não é prioridade;segundo lugar"	"irrelevante"	"deixada de lado"	"para depois"
"sentença judicial"	"C"	"4.6667"	"4.25"	"4.6"	"4.33"	"decisão judicial;sentença jurídica;determinação judicial"	"deliberação judicial"		
"sétima arte"	"PC"	"2.1923"	"2.8"	"2.38"	"2.44"	"cinema;filmes"			
"sinal verde"	"NC"	"1.3939"	"1.4"	"1.83"	"1.82"	"permissão;aprovação;autorização;aval;sinal positivo"			
"tela plana"	"C"	"4.9583"	"4.47"	"3.82"	"4.0"	"tela reta;tela fina;tela lisa;monitor plano;tela achatada;tela aplainada"		"televisão"	
"tempo real"	"C"	"2.8125"	"3.0"	"2.71"	"2.4"	"ao vivo;simultâneo;agora;ao mesmo tempo;simultaneamente;no exato momento"			
"trabalho braçal"	"C"	"3.5455"	"3.5"	"4.0"	"4.3"	"trabalho manual;trabalho árduo;trabalho físico;trabalho pesado;trabalho duro;esforço físico;trabalho desgastante"		"trabalho de força"	
"trabalho escravo"	"C"	"4.2424"	"4.27"	"3.93"	"3.78"	"trabalho forçado;escravidão;trabalho não remunerado;trabalho sem remuneração;servidão"	"trabalho ilegal"		"escravização"
"vinho branco"	"C"	"3.4"	"3.1"	"2.75"	"2.9"	"vinho claro;vinho de cor clara;vinho seco;vinho tinto;vinho de mesa"			"tipo de vinho"
"vista grossa"	"NC"	"0.5"	"1.31"	"0.89"	"1.0"	"ignorar;relevar;deixar passar"		"ignoram"	"desconsiderar"
"voto secreto"	"C"	"4.8214"	"4.91"	"4.67"	"4.73"	"voto sigiloso;voto individual;escolha anônima;eleição;votação secreta"	"confidencial;voto confidencial"		
"caixa-forte"	"PC"	"3.1905"	"2.45"	"3.0"	"3.12"	"cofre;cofre forte;recinto de alta segurança"	"cofre blindado"		
"conta-corrente"	"PC"	"2.7143"	"2.88"	"3.17"	"2.86"	"conta bancária;conta à ordem;conta em banco"		"conta financeira"	"conta poupança"
"corda bamba"	"NC"	"1.3103"	"0.83"	"1.45"	"2.0"	"situação instável;situação perigosa;instabilidade;situação de risco"	"em perigo"	"insegurança"	"perigoso"
"disco rígido"	"PC"	"2.7568"	"2.5"	"2.4"	"2.62"	"hd;disco duro;memória secundária"			
"exame laboratorial"	"C"	"4.9"	"4.77"	"4.5"	"4.75"	"exame clínico;teste de laboratório;exames clínicos;análise clínica;exame feito em laboratório;análise laboratorial;teste laboratorial"		"exames feitos em laboratórios"	
"farinha integral"	"C"	"4.72"	"4.5"	"4.33"	"4.44"	"farinha branca;farinha completa;farinha não refinada"			
"gato-pingado"	"NC"	0	"0.2"	"0.3"	"0.2"	"poucas pessoas;pequena quantidade;pouca quantidade;inútil;pouco"	"poucos"	"insignificante"	
"gelo-seco"	"PC"	"2.3333"	"2.43"	"2.29"	"2.27"	"dióxido de carbono congelado;fumaça;dióxido de carbono resfriado;dióxido de carbono solidificado ao ser resfriado;dióxido de carbono sólido;gelo que evapora rapidamente"			
"guarda-florestal"	"C"	"4.16"	"3.9"	"4.15"	"3.75"	"polícia florestal;policial florestal;guarda da floresta"		"polícia"	
"lua nova"	"C"	"1.4"	"2.11"	"1.9"	"1.5"	"fase lunar;fase da lua;lua escura;lua crescente"			
"mão-fechada"	"NC"	"3.7619"	"0.91"	"1.1"	"1.2"	"pão duro;mão de vaca;avarento;mesquinho;econômico;sovino;muquirana;que faz economia"			
"maré alta"	"C"	"4.1818"	"3.58"	"3.4"	"4.3"	"maré cheia;preamar;maré-cheia;cheia;mar alto"	"ondas"		
"mercado negro"	"PC"	"1.0625"	"0.92"	"1.22"	"0.56"	"mercado ilegal;mercado clandestino;mercado proibido;comércio ilegal;contrabando;ilegal"			
"novo-rico"	"PC"	"3.619"	"3.5"	"3.86"	"3.17"	"pessoas que enriqueceram recentemente"	"pessoas que ficaram ricas recentemente"		
"olho mágico"	"NC"	"0.2727"	"0.8"	"0.33"	"0.86"	"visor;buraco na porta;lente"		"olho de peixe"	
"pé quente"	"NC"	"0.0952"	"0.38"	"0.78"	"0.55"	"sortudo;boa sorte"			
"ponto cego"	"PC"	"1.92"	"2.2"	"1.5"	"1.5"	"fora do campo de visão"			
"primeira-dama"	"NC"	"2.8696"	"1.38"	"1.14"	"1.5"	"esposa do presidente;esposa do prefeito;esposa do governante"			"esposa"
"primeiro plano"	"NC"	2	"2.42"	"2.12"	"2.55"	"prioridade;primeiro lugar;primeira opção"	"primeira impressão;primeiramente"	"superfície"	"evidência"
"processo seletivo"	"C"	"4.7826"	"4.62"	"4.69"	"4.62"	"seleção;processo de seleção;escolha;concurso;eliminatórias"		"prova"	"vestibular"
"sexto sentido"	"NC"	"1.4"	"1.67"	"2.14"	"2.56"	"intuição;pressentimento;sentimento;percepção extrassensorial;percepção"			
"sistema político"	"C"	"4.3636"	"4.6"	"4.36"	"3.57"	"governo;regime político;política;forma de governo"	"sistema de governo"	"organização política"	
"tapete vermelho"	"NC"	"3.7586"	"4.0"	"3.33"	"2.75"		"passarela"		
"terceira pessoa"	"PC"	2	"1.5"	"2.0"	"2.8"	"narrador;outra pessoa"	"ele"		
"vôo internacional"	"C"	"4.9643"	"4.67"	"4.36"	"4.71"	"vôo entre países"			
"alta-costura"	"PC"	"0.8846"	"1.88"	"1.38"	"1.71"	"costura de qualidade;alta qualidade;chique"	"exclusivo"		"refinada"
"buraco negro"	"NC"	"2.8824"	"1.33"	"2.88"	"1.4"	"buraco sem fim"		"buraco de minhoca"	
"centro espírita"	"C"	"3.4286"	"3.0"	"2.92"	"3.4"	"igreja espírita;igreja;templo espírita;centro de reuniões da religião espírita;casa espírita"	"templo"		
"circuito integrado"	"C"	"4.52"	"3.43"	"3.29"	"3.54"	"chip;chipe;microchip;nanochip;microchipe;eletricidade"			"circuito conectado"
"desfile militar"	"C"	"4.9286"	"4.56"	"4.5"	"4.5"	"parada militar;marcha militar;desfile;passeata militar"			
"força bruta"	"PC"	"3.3333"	"3.42"	"3.56"	"3.1"	"violência;agressividade;força física;agressão"	"força excessiva;força brutal"		"brutalidade"
"governo federal"	"C"	"4.9655"	"5.0"	"4.83"	"5.0"	"governo do país;estado;governo de um país;poder executivo"			
"gripe suína"	"PC"	"2.4815"	"2.71"	"3.0"	"2.42"	"h1n1;doença;gripe a;siv;vírus influenza suíno"			
"lista negra"	"PC"	"1.6"	"1.12"	"0.6"	"1.43"	"ata negra;registro negro"		"lista de inimigos"	
"livre-docente"	"PC"	"2.625"	"1.71"	"2.11"	"3.0"	"professor;doutor"			
"livro aberto"	"NC"	"0.7879"	"1.08"	"1.25"	"1.22"	"sem segredos;transparente;público;nada a esconder;pessoa aberta;sincero;expontâneo"	"exposta"		
"núcleo atômico"	"C"	"4.9259"	"4.67"	"4.33"	"4.86"	"parte central do átomo;centro do átomo;núcleo de um átomo;núcleo do átomo;matéria"	"centro atômico"	"prótons e nêutrons"	
"ônibus executivo"	"C"	"2.625"	"2.11"	"1.73"	"2.83"	"ônibus comum"			
"pão-duro"	"NC"	"0.1176"	"0.75"	"0.6"	"0.38"	"avarento;mão de vaca;mesquinho;sovina"	"mão fechada"	"muquirana"	
"pente fino"	"NC"	"0.5312"	"1.0"	"0.6"	"0.62"	"investigação"	"detalhada;busca detalhada;cuidadosa;minuciosa"	"peneira"	
"pólo-aquático"	"C"	"2.8696"	"2.22"	"2.25"	"2.55"	"esporte;handebol aquático;futebol aquático;esporte aquático"		"jogo na piscina"	"natação"
"reta final"	"NC"	"1.1212"	"2.12"	"2.12"	"2.38"	"final;conclusão;desfecho;fim;etapa final;estágio final;última parte;fase final"	"finalizando"		"término;próximo do fim"
"roda gigante"	"NC"	"4.2"	"3.89"	"3.56"	"4.0"	"roda panorâmica;brinquedo de parque de diversões;brinquedo;parque de diversão"			
"saia justa"	"NC"	"0.3667"	"0.8"	"0.75"	"0.36"	"constrangimento;situação embaraçosa;situação constrangedora;constrangedor;vergonha;embaraçoso"			
"terceira idade"	"PC"	"1.7"	"1.89"	"2.08"	"1.78"	"idoso;idosos;velhice;velhos;idade avançada;velho;melhor idade"			
"viva voz"	"NC"	"1.6957"	"1.67"	"1.75"	"1.55"	"oralmente;alto falante"		"alto;auto falante"	"em voz alta;ao vivo"
"abalo sísmico"	"C"	"4.4242"	"4.33"	"3.92"	"4.1"	"terremoto;terremotos;tremor"		"tremores"	"estremecimento"
"alto mar"	"PC"	"1.3529"	"2.3"	"1.67"	"1.92"	"mar aberto;oceano;mar largo;longe da costa;selvagem;mar livre;parte do mar longe da costa"			
"mau contato"	"PC"	"1.6207"	"2.86"	"2.67"	"2.82"	"mau funcionamento;defeito;contato ruim;problema;conexão ruim;ligação ruim"	"quebrado"	"queda de tensão"	
"montanha-russa"	"NC"	"0.3077"	"0.71"	"0.9"	"0.62"	"brinquedo de parque;brinquedo;brinquedo de parque de diversão;brinquedo de parque de diversões"			
"alto-falante"	"NC"	"2.0357"	"2.1"	"2.2"	"2.14"	"caixa de som;amplificador de som;megafone;som alto;mega fone;porta voz"		"porta-voz"	
"amor-próprio"	"PC"	"3.9143"	"4.62"	"4.56"	"4.18"	"autoestima;dignidade;orgulho;autoamor;amar a si mesmo;auto-estima"			"auto estima"
"círculo vicioso"	"PC"	"2.1667"	"2.09"	"2.22"	"2.5"	"ciclo vicioso;vício;ciclo"			
"colégio militar"	"C"	"4.8846"	"4.38"	"4.56"	"4.9"	"escola militar;colégio do exército"			
"febre amarela"	"PC"	"1.4348"	"1.75"	"1.0"	"1.18"	"doença;febre;infecção viral;peste amarela;doença transmitida por mosquito"			"doença viral"
"novo mundo"	"NC"	"2.2941"	"1.7"	"2.22"	"1.86"	"nova era;horizonte"	"mundo novo;utopia"	"novidade;algo novo"	
"primeira necessidade"	"PC"	"0.7143"	"3.38"	"2.92"	"2.5"	"necessidades básicas;necessidade básica;prioridade;necessidades essenciais;necessidades primárias;indispensável"	"importante;essencial"	"necessidades mais importantes;prioridades"	
"água mineral"	"C"	"4.2059"	"4.36"	"4.0"	"4.11"	"água pura;água potável;água limpa;água;água com minérios;água engarrafada"			
"amigo oculto"	"PC"	"2.8889"	"2.33"	"2.56"	"2.5"	"amigo secreto;amigo desconhecido"			
"braço direito"	"NC"	"0.5714"	"0.45"	"0.9"	"1.0"	"pessoa de confiança;ajudante;de confiança;parceiro;companheiro"	"confiável;amigo"	"fiel"	"principal ajudante"
"caixeiro viajante"	"PC"	"3.4286"	"3.0"	"2.5"	"2.85"	"ambulante;vendedor;representante de vendas;vendedor viajante"			"viajante"
"escada rolante"	"PC"	"3.85"	"4.14"	"4.11"	"3.82"	"escada automática;escada;escada mecânica;escada que se move;elevador"			
"câmara fria"	"PC"	"4.65"	"4.0"	"3.38"	"3.8"	"geladeira;freezer;câmara frigorífica;câmara refrigerada"	"câmara gelada"	"sala refrigerada;frigorífico"	
"longa-metragem"	"NC"	"0.9615"	"2.22"	"2.44"	"2.38"	"filme;obra cinematográfica"		"filme de longa duração"	"longa duração"
"má-fé"	"NC"	"1.7188"	"1.88"	"1.4"	"0.86"	"desonestidade;má intenção;maldade;falsidade;deslealdade"		"maldosamente"	
"máquina virtual"	"C"	"2.8667"	"3.56"	"3.64"	"3.86"	"computador;programa"			
"maré baixa"	"C"	"1.6857"	"4.0"	"3.14"	"3.55"	"baixa-mar;maré vazia;mar baixo;refluxo do mar;baixa;época em que o mar registra sua menor altura"			
"ovelha negra"	"NC"	"0.4545"	"0.33"	"0.6"	"0.7"	"diferente"			
"relógio analógico"	"C"	"4.9231"	"4.1"	"4.44"	"4.27"	"relógio de ponteiro;relógio de ponteiros;relógio antigo;relógio que não é digital;relógio não digital;relógio;digital"		"relógio mecânico"	
"vaca louca"	"NC"	"1.2308"	"1.56"	"1.6"	"1.73"	"doença;mal da vaca louca;encefalopatia espongiforme bovina;doença neurodegenerativa;doença bovina"			
"ato falho"	"PC"	"3.5"	"3.25"	"3.29"	"3.82"	"erro;falha;lapso freudiano"	"erros;falhas"		"deslize"
"curto-circuito"	"PC"	"1.96"	"0.5"	"1.33"	"1.57"	"falha"			
"direitos humanos"	"C"	"3.8571"	"4.25"	"3.0"	"2.31"	"direitos naturais;direitos fundamentais"			
"mesa-redonda"	"NC"	"1.1034"	"1.5"	"1.38"	"1.36"	"debate;conversa;discussão;palestra;painel de discussão;roda de conversa"			
"olho gordo"	"NC"	"0.2759"	"0.57"	"0.75"	"0.33"	"inveja;cobiça"			
"pavio curto"	"NC"	"0.8"	"1.38"	"1.0"	"1.22"	"sem paciência;irritado;irritadiço;impaciente;explosivo;intolerante;nervoso"			
"relógio biológico"	"C"	"2.1154"	"2.0"	"2.27"	"1.71"	"ciclo biológico;organismo"			
"vôo doméstico"	"C"	"3.4074"	"3.1"	"2.7"	"2.67"	"vôo nacional;voo nacional;vôos locais;vôo de curta duração"		"linha aérea"	"vôo dentro do próprio país"
"algodão-doce"	"PC"	"1.28"	"2.56"	"2.0"	"1.67"	"algodão de açúcar;doce;doce feito de açúcar;doce de açúcar"			
"bode expiatório"	"NC"	"0.4688"	"0.43"	"0.67"	"0.91"	"culpado injustamente;boi de piranha"		"acusado injustamente"	
"cerca viva"	"PC"	"3.5758"	"3.33"	"3.33"	"2.92"	"cerca de plantas;cerca feita com plantas;muro de plantas"		"sebe"	"cercas naturais;cerca feita de plantas;cercamento com plantas"
"cordas vocais"	"C"	"2.3226"	"2.29"	"2.3"	"2.62"	"pregas vocais;garganta;voz;órgão responsável pela produção dos sons;fala"			
"lugar-comum"	"NC"	"1.5238"	"1.71"	"2.2"	"0.89"	"senso comum;clichê;trivialidade;comum"			"habitual"
"banho turco"	"PC"	"2.1875"	"2.0"	"2.71"	"2.29"	"sauna;banho a vapor;sauna a vapor;banho de vapor"			"banho coletivo"
"sangue quente"	"NC"	"0.8667"	"1.38"	"1.2"	"1.0"	"impulsividade;nervoso;irritação;irritado;impulsivo"			
"puro-sangue"	"NC"	"1.5484"	"2.5"	"1.62"	"2.38"	"raça pura;cavalo de raça;de raça pura;nobre"			
"lua cheia"	"C"	"3.5185"	"3.8"	"3.22"	"3.18"	"lua completa;fase lunar;plenilúnio;fase da lua;lua mais brilhante"		"lua"	"lua em oposição ao sol"
"salão paroquial"	"C"	"4.5238"	"3.86"	"4.43"	"4.0"	"salão da igreja;igreja;paróquia"			
