"compound"	"CompScale"	"CompType"	"MeanS1"	"MeanS2"	"MeanS3"	"Synonyms"	"SynonymsS1"	"SynonymsS2"	"SynonymsS3"
"lotus position"	"PC"	"2.48"	"2.18"	"1.5"	"2.5"	"sitting position;meditation position;meditation position;yoga pose;yoga pose;indian style;cross-legged position"			
"eager beaver"	"NC"	"0.36"	"0.4"	"0.7"	"0.1"	"eager person;go getter;go-getter"	"hard worker"		
"bankruptcy proceeding"	"C"	"4.78"	"4.6"	"4.7"	"4.3"	"bankruptcy hearing;bankruptcy hearing;debt discharge;failure"	"insolvency proceedings"	"chapter 11"	"insolvency;bankruptcy court"
"mailing list"	"C"	"4.67"	"4.5"	"3.7"	"4.0"	"subscription;sweet;mail"	"subscribers"		
"cutting edge"	"NC"	"1.25"	"0.3"	"0.8"	"0.55"	"forefront;forefront;brand new;innovation;modern;innovative;innovative;state-of-art"	"newest"		"front line"
"economic aid"	"C"	"4.33"	"5.0"	"4.6"	"4.7"	"financial assistance;financial assistance;help;donated money;aid"			"financial aid;economic support"
"honey trap"	"PC"	"1.22"	"1.1"	"1.0"	"1.3"	"lure;bait;sweet;bait and switch;honeypot"			
"melting pot"	"NC"	"0.54"	"0.5"	"0.4"	"0.3"	"mixture;diversity;multiculturalism;pluralism"			
"hot potato"	"NC"	"0.56"	"0.4"	"0.2"	"0.3"	"controversy;controversial issue;controversial issue;controversial subject;controversial subject;hot topic;hot topic;touchy subject"			
"basket case"	"NC"	"0.42"	"0.73"	"0.3"	"0.3"	"crazy;crazy;nervous wreck;defenseless;lost cause"			"nut job"
"diamond wedding"	"NC"	"1.7"	"1.42"	"1.55"	"1.0"	"anniversary;anniversary;60th wedding anniversary;60th anniversary;60th anniversary;sweet;sweet"			
"elbow grease"	"NC"	"0.56"	"0.0"	"0.2"	"0.5"	"hard work;hard work;effort;effort"			
"memory lane"	"PC"	"2.17"	"1.7"	"1.7"	"2.2"	"nostalgia;nostalgia;memories;memories;sentimental;reminicing"			"reminiscence"
"beauty sleep"	"PC"	"2.96"	"2.82"	"2.0"	"2.5"	"rest;rest;extra sleep;beauty rest;deep sleep;good rest"	"power nap"		
"end user"	"PC"	"4.25"	"3.5"	"2.6"	"3.5"	"customer;customer;final user;final user;consumer;consumer;customers;user;sweet"			
"incubation period"	"C"	"3.92"	"4.0"	"3.9"	"3.5"	"waiting time;latency period;delay;sweet"	"period of incubation;growth time"	"latent period;breeding time"	
"elbow room"	"NC"	"0.61"	"0.1"	"0.9"	"0.7"	"space;space;breathing space;breathing space;personal space;adequate space"		"leeway"	"breathing room"
"engine room"	"C"	"4.93"	"2.36"	"4.4"	"4.7"	"boiler room;sweet;sweet;room where the engine is;maintenance room;engine cavity;control room"		"engine bay"	
"information age"	"C"	"3.4"	"4.0"	"3.7"	"3.6"	"digital age;digital age;technological era;era of internet;enlightenment"			
"best man"	"PC"	"3.12"	"3.82"	"3.1"	"4.1"	"groomsman;groomsman;best friend;bridesman;bridesman;sweet;sweet"			
"eye candy"	"NC"	"1.48"	"0.7"	"0.9"	"0.71"	"attractive;attractive;good looking;visually pleasing"	"beautiful"		"pretty pictures"
"injury time"	"PC"	"3.2"	"4.36"	"3.7"	"3.43"	"break;break;stoppage time;penalty;injured time-out;sweet;hurt"		"timeout"	"extra time;overtime"
"insider trading"	"PC"	"3.88"	"3.2"	"4.2"	"3.45"	"insider dealing;cheating;cheating;illegal trading;cabal;inside dealing"		"rigged market"	
"monkey business"	"NC"	"0.72"	"0.1"	"0.6"	"0.0"	"mischief;mischief;foolishness;mischievous;nonsense"	"shenanigans"		"craziness"
"face value"	"NC"	"3.04"	"1.0"	"1.27"	"1.5"	"worth;actual worth;actual worth;up front;price"	"real worth;value"		
"big cheese"	"NC"	"0.36"	"0.5"	"0.5"	"0.1"	"boss;boss;head honcho;head honcho;important person"	"vip"		
"nest egg"	"NC"	"0.78"	"0.8"	"0.5"	"0.3"	"savings;savings;savings account"		"safety net"	
"big picture"	"NC"	"1.48"	"1.55"	"1.2"	"1.5"	"broad view;broad view;essence;sweet"	"overview"		"master plan"
"entrance hall"	"C"	"4.17"	"3.9"	"3.6"	"4.8"	"foyer;foyer;lobby;lobby;entrance area;entrance area"			"hallway"
"night owl"	"NC"	"1.93"	"1.0"	"1.2"	"1.2"	"night person;night person;evening person;nighthawk;late night person"		"late sleeper"	
"eternal rest"	"PC"	"3.25"	"3.1"	"3.55"	"3.8"	"death;death;dead"			"peace"
"fashion plate"	"NC"	"3.9"	"0.5"	"1.0"	"0.6"	"fashionista;well dressed;snappy dresser;stylish person;dude"		"dandy;best-dressed"	"clotheshorse"
"fish story"	"PC"	"1.68"	"2.1"	"2.75"	"2.0"	"tall tale;tall tale;exaggeration;exaggeration;story about fish;sweet"	"exaggerated story"		"lie"
"big wig"	"NC"	"0.6"	"0.8"	"0.4"	"0.1"	"boss;important person;important person;big shot;vip;fat cat;head honcho"			"mogul"
"jet lag"	"PC"	"2.67"	"2.0"	"2.6"	"3.27"	"tiredness;desynchronosis;desynchronosis;tired;fatigue;sleepy;sleepy;time difference"		"jet syndrome"	"travel fatigue"
"number crunching"	"PC"	"2.26"	"1.5"	"1.8"	"1.6"	"calculating;calculating;math;accounting;calculations;calculations;calculation"			
"fine line"	"PC"	"2.69"	"2.0"	"2.3"	"2.25"	"thin line;thin line;delicate;small;delicate line;sweet"	"small difference"	"thin lines"	
"flower child"	"NC"	"0.5"	"1.0"	"0.7"	"0.6"	"hippie;hippie;hippy;hippy"			"hippies"
"panda car"	"NC"	"1.81"	"1.4"	"0.7"	"1.5"	"police car;police car;police vehicle;police vehicle;patrol car;sweet"		"squad car"	"cop car;black and white"
"biological clock"	"C"	"2.42"	"1.0"	"1.0"	"1.7"	"body clock;circadian clock;fertility window;biorhythm;internal clock;human lifecycle"	"biological rhythm"		"aging process"
"firing line"	"PC"	"1.7"	"1.5"	"2.7"	"0.5"	"front line;front line;line of fire;battle line"	"front"		
"food market"	"C"	"3.82"	"4.8"	"3.9"	"3.7"	"grocery store;grocery store;food industry;marketplace"			"food business"
"job fair"	"C"	"3.5"	"3.7"	"3.1"	"3.0"	"career fair;career fair;employment fair;career expo"		"employment market"	
"black box"	"NC"	"1.29"	"1.3"	"2.83"	"1.3"	"flight recorder;flight recorder;recorder;data recorder;sweet"			
"foot soldier"	"NC"	"1.95"	"1.6"	"1.8"	"1.3"	"infantryman;grunt;grunt;laborer;soldier;sweet"			"pawn"
"leap year"	"PC"	"2.38"	"3.0"	"2.0"	"2.18"	"bissextile year;defective year;defective year;long year;sweet;sweet;366 days;every fourth year"			
"flea market"	"NC"	"1.52"	"0.6"	"0.6"	"0.7"	"swap meet;swap meet;street market;street market;farmers market;rummage sale"	"garage sale"		
"front man"	"NC"	"1.64"	"2.2"	"2.3"	"2.8"	"leader;leader;lead singer;sweet"	"leading man"	"representative"	"lead"
"front runner"	"PC"	"2.66"	"1.91"	"1.8"	"1.64"	"leader;leader;favorite;best bet;sweet"		"first choice;first place"	"leaders;leading candidate"
"goose egg"	"NC"	"0.48"	"0.8"	"0.5"	"1.6"	"bump;bump;lump;zero;swelling"			"bird egg"
"black operation"	"PC"	"1.39"	"0.7"	"1.0"	"2.1"	"secret operation;covert operation;covert operation;covert ops;covert ops;secret mission;covert operations"			
"love song"	"C"	"4.58"	"4.5"	"4.9"	"4.6"	"serenade;ballad;ballad;romantic song;song"	"music"		"love poem"
"parking lot"	"C"	"4.7"	"4.4"	"4.4"	"4.3"	"car park;car park;garage;garage;sweet"	"parking area"		
"blind alley"	"NC"	"1.14"	"1.0"	"0.7"	"0.3"	"dead end;dead end;dead ends;blank wall;sweet"			
"game plan"	"PC"	"3.83"	"0.9"	"2.1"	"2.38"	"strategy;strategy;design;scheme;plan;sweet"	"plan of action"		
"grey matter"	"NC"	"2.39"	"1.3"	"2.4"	"2.0"	"brain;brain;brains;brain matter;intellect"			
"pecking order"	"PC"	"1.69"	"1.09"	"1.7"	"1.8"	"hierarchy;hierarchy;food chain"		"rank"	
"low profile"	"NC"	"2.1"	"2.0"	"2.36"	"2.2"	"low key;inconspicuous;inconspicuous;down low"			"incognito"
"gold mine"	"PC"	"0.81"	"0.9"	"3.8"	"1.36"	"cash cow;cash cow;moneymaker"	"treasure"		
"blood bath"	"NC"	"1.38"	"1.3"	"0.7"	"0.7"	"slaughter;slaughter;massacre;massacre;carnage;carnage;masacre;sweet"			
"marketing consultant"	"C"	"4.0"	"4.5"	"4.7"	"4.2"	"marketing adviser;advertising worker"	"salesperson"	"sales consultant;marketing professional"	"marketing specialist"
"graduate student"	"C"	"4.9"	"4.0"	"4.09"	"4.7"	"masters student;grad student;student in graduate school;sweet"	"scholar;senior"	"college student"	
"polo shirt"	"PC"	"3.37"	"1.7"	"2.5"	"2.3"	"golf shirt;collared shirt;short-sleeved shirt"		"collared t-shirt"	
"blue blood"	"NC"	"0.58"	"0.45"	"0.64"	"0.7"	"aristocrat;aristocrat;noble;noble;noble birth;elites;aristocracy;sweet"			
"grandfather clock"	"NC"	"2.64"	"1.1"	"1.1"	"1.2"	"pendulum clock;large clock;large clock;longcase clock;standing timepiece;standing timepiece;alarm clock;sweet"	"tall-case clock"		
"medical procedure"	"C"	"4.83"	"5.0"	"4.64"	"4.8"	"operation;operation;surgery;medical operation;medical operation;operations;medical treatment"			
"public service"	"C"	"4.4"	"4.0"	"4.7"	"4.09"	"civil service;civil service;government programs;government programs;sweet"			
"blue print"	"NC"	"1.04"	"1.46"	"0.7"	"1.73"	"plan;schematic;outline;design;guide;sweet"	"diagram"		"master plan"
"guinea pig"	"NC"	"0.45"	"0.6"	"0.3"	"0.5"	"test subject;test subject;lab rat;tester"		"lab animal"	
"graveyard shift"	"NC"	"1.52"	"1.33"	"1.73"	"1.0"	"night shift;night shift;late night shift;late night shift;night work;sweet"	"late shift;overnight"		
"box office"	"NC"	"0.88"	"1.27"	"0.9"	"1.27"	"ticket sales;ticket sales;ticket booth;ticket booth;ticket office;gate;sweet"	"financial"	"movie"	
"half sister"	"PC"	"2.84"	"3.09"	"2.42"	"2.9"	"half sibling;half sibling;sibling;sibling;stepsister;sweet"	"sister by marriage"	"step sister;sister"	
"radio station"	"C"	"4.47"	"4.2"	"4.27"	"4.8"	"transmission;broadcaster;audio broadcast;music channel"	"radio center"		"radio channel"
"music festival"	"C"	"4.58"	"4.8"	"4.64"	"4.9"	"concert;concert;large concert;festival of music;fair"		"music celebration"	
"rat race"	"NC"	"0.86"	"0.6"	"0.91"	"0.3"	"daily grind;daily grind;competition"	"pointless pursuit"	"grind"	
"brain drain"	"NC"	"2.08"	"1.1"	"1.73"	"2.0"	"human capital flight;loss of bright minds;sweet"	"departure"	"stress"	
"music journalist"	"C"	"4.54"	"4.2"	"3.82"	"4.3"	"music reporter;music reporter;composer;sweet;writer"	"music writer"		
"gravy train"	"NC"	"0.31"	"0.1"	"0.0"	"0.73"	"cash cow;easy money;lap of luxury"			
"half wit"	"NC"	"1.16"	"2.1"	"1.3"	"1.1"	"idiot;idiot;fool"	"unintelligent"		
"rat run"	"NC"	"0.79"	"0.6"	"0.82"	"0.5"	"short cut;short cut;cut through;shortcut;side street;sweet"			
"noise complaint"	"C"	"4.52"	"4.73"	"4.9"	"4.9"	"disturbing the peace"	"loudness complaint"		
"health check"	"C"	"4.17"	"3.5"	"4.4"	"4.5"	"checkup;checkup;physical;check up;wellness check-in;medical checkup"	"medical exam"		
"bull market"	"PC"	"1.23"	"1.8"	"1.09"	"0.6"	"booming market;expanding economy;advancing market;advancing market;rising market;rising market;stock market;strong market;sweet"	"up market"		
"cable car"	"NC"	"2.68"	"2.8"	"3.64"	"2.91"	"trolley;trolley;street car;train;sweet"	"trolly;streetcar;tram"		
"high life"	"PC"	"1.67"	"1.91"	"2.5"	"2.7"	"good life;good life;rich life;luxurious life;sweet"	"life of luxury"		
"pain killer"	"PC"	"2.17"	"3.2"	"1.64"	"1.3"	"analgesic;medicine;anesthetic;pain reliever;pain reliever;pain medicine;pain relievers"			"pain medication"
"peace conference"	"C"	"4.46"	"4.8"	"4.58"	"4.2"	"treaty negotiation;peace summit;peace talk"	"peace meeting;meetings"	"meeting"	"mediation"
"research project"	"C"	"4.82"	"4.3"	"5.0"	"4.36"	"study;research study;research study"		"thesis"	
"inner circle"	"NC"	"1.56"	"1.1"	"1.7"	"0.8"	"clique;in-group;in-crowd;in group;sweet"	"close friends"		
"ground floor"	"C"	"4.67"	"3.7"	"4.1"	"4.09"	"first floor;first floor;ground level;bottom floor;bottom floor;basement;first story;sweet"	"main level;entry level"		
"inner product"	"PC"	"3.0"	"1.45"	"1.93"	"1.8"	"dot product;result;inside multiplication;product it produces;sweet"		"scalar product"	
"calendar month"	"C"	"4.23"	"4.0"	"4.0"	"4.5"	"month;month;thirty days;sweet"			"months;30 days"
"peace talk"	"C"	"4.13"	"4.18"	"4.7"	"4.2"	"mediation;mediation;negotiations;negotiations;compromise;peace negotiations;talks about peace"	"peace negotiation"		
"guilt trip"	"NC"	"2.19"	"2.1"	"1.25"	"1.0"	"guilty conscience;guilty conscience;guilting;remorse;guilty feeling;emotional manipulation;sweet"			
"rock bottom"	"NC"	"2.14"	"0.7"	"1.0"	"0.9"	"all time low;cheapest;lowest point;lowest point;absolute lowest"	"lowest"	"record low"	
"insane asylum"	"C"	"3.95"	"4.5"	"4.4"	"4.1"	"mental hospital;mental hospital;psychiatric hospital;mental institution;mental institution;looney bin;crazy house"		"nut house"	
"pipe dream"	"NC"	"0.91"	"0.5"	"0.3"	"0.4"	"wishful thinking;wishful thinking;fantasy;fantasy;illusion;daydream"			
"civil marriage"	"C"	"3.13"	"3.73"	"4.0"	"3.42"	"common law union;common law union;civil union;legal marriage;civil partnership;interfaith marriage;sweet"			"consensual union"
"rocket science"	"NC"	"1.43"	"1.4"	"1.5"	"1.1"	"difficult"	"difficult subject"	"space science"	"complex task"
"poison pill"	"NC"	"0.96"	"1.0"	"1.0"	"0.9"	"suicide pill;porcupine provision;bad decision"	"death sentence"	"tactic"	
"insurance company"	"C"	"5.0"	"4.36"	"4.55"	"4.42"	"insurer;insurer;insurance firm;insurance provider;sweet;sweet;policy holder"	"underwriter"	"insurance agent"	"insurance carrier;insurers"
"cocoa butter"	"C"	"3.23"	"3.7"	"3.58"	"3.55"	"cocoa oil;bean curd;lotion;sweet;oil"		"cocoa fat"	"theobroma oil"
"role model"	"PC"	"4.11"	"2.2"	"3.4"	"3.3"	"mentor;mentor;example;example;idol;idol;hero;good example;leader"			
"head teacher"	"PC"	"4.0"	"1.8"	"1.7"	"1.8"	"principal;principal;lead teacher;sweet"			
"rush hour"	"PC"	"3.33"	"2.9"	"2.3"	"1.8"	"traffic;heavy traffic;heavy traffic;busy time"			
"insurance policy"	"C"	"4.15"	"4.6"	"4.7"	"4.55"	"coverage;insurance contract;insurance coverage;sweet"			"contract"
"health insurance"	"C"	"4.4"	"4.5"	"4.7"	"4.8"	"medical coverage;medical coverage;health coverage;medical insurance;medical plan;medical;major medical;sweet"	"medical care"	"medicare;health plan"	"health benefits"
"computer expert"	"C"	"4.46"	"4.9"	"4.7"	"5.0"	"computer specialist;geek;computer professional;computer tech"	"techie"		"computer specialists"
"radioactive material"	"C"	"4.61"	"4.6"	"4.1"	"4.2"	"contaminated;sweet"		"nuclear material"	
"sacred cow"	"NC"	"1.52"	"1.91"	"0.6"	"1.6"	"object of worship;object of worship;god;god;sweet"		"hero"	
"human being"	"C"	"4.59"	"4.9"	"4.6"	"4.3"	"person;person;homo sapien;sweet"		"people"	"human"
"contact lens"	"PC"	"3.64"	"2.3"	"1.7"	"4.0"	"contacts;contacts;corrective lenses;corrective lenses;disposable lenses;glasses;corrective lens;sweet"		"soft lenses"	
"search engine"	"PC"	"3.32"	"1.3"	"2.1"	"2.1"	"browser;gateway;web directory;google;web search;search finder;sweet"			
"iron collar"	"C"	"3.88"	"3.36"	"3.1"	"3.9"	"garrotte;sweet"		"garrote"	"restraint"
"copy cat"	"PC"	"0.74"	"0.58"	"1.2"	"0.3"	"follower;imitator;imitator;impersonator;mimic;duplicate;similar;imitation;biter;aper;sweet"			
"shrinking violet"	"NC"	"1.07"	"0.4"	"0.5"	"0.5"	"shy person;shy person;shy;shy;wallflower;wuss;wuss;sweet"			
"interest rate"	"C"	"4.57"	"3.5"	"3.3"	"4.27"	"interest;sweet;sweet;rate of interest"			"lending rate"
"labour union"	"C"	"4.76"	"4.2"	"4.08"	"4.5"	"trade union;group of workers;union"	"local;trades union"		"union of workers"
"silver bullet"	"NC"	"0.67"	"0.86"	"0.0"	"0.7"	"panacea;panacea;elixir;immediate solution"		"easy solution"	"cure;magic bullet"
"crime rate"	"C"	"4.39"	"4.55"	"4.1"	"4.9"	"criminal activity;criminality;crime statistics;sweet"	"ratio of crimes"		"number of crimes;illegal activity"
"life belt"	"PC"	"2.84"	"2.1"	"3.0"	"2.6"	"life preserver;life preserver;life vest;seat belt;life jacket;sweet"			
"damp squib"	"NC"	"0.95"	"0.8"	"1.18"	"0.82"	"disappointment;disappointment;failure;anti-climax;disapointment;sweet;sweet"		"anticlimax"	
"silver screen"	"PC"	"2.38"	"1.9"	"1.5"	"1.6"	"cinema;big screen;big screen;hollywood;movie screen;movie screen;movies"			
"dark horse"	"NC"	"0.65"	"0.3"	"0.3"	"0.38"	"underdog;underdog;long shot;long shot;longshot;sweet"	"unexpected contender"		
"ivory tower"	"NC"	"0.46"	"0.33"	"0.5"	"0.5"	"elitist position;place of learning;sweet"			"elitist"
"silver spoon"	"PC"	"1.52"	"2.6"	"3.3"	"2.5"	"silver utensil;privilege"		"silverware"	"encouraging"
"life vest"	"PC"	"3.44"	"3.8"	"3.8"	"3.5"	"life preserver;life preserver;life jacket;floatation device;safety vest;sweet"			
"day shift"	"C"	"4.54"	"4.9"	"4.17"	"4.2"	"first shift;day work;day watch;day watch;daytime work;work around noon;sweet"		"day hours"	
"kangaroo court"	"NC"	"1.37"	"0.4"	"0.6"	"0.73"	"mock court;mock court;sham trial;sham trial;unofficial court;sham court;impromptu court;mock jury"			
"sitting duck"	"NC"	"0.96"	"0.5"	"0.4"	"0.4"	"easy target;easy target;pushover;pushover;easy prey;helpless;exposed"	"victim"		"decoy"
"lime tree"	"C"	"4.61"	"4.2"	"3.9"	"3.7"	"citrus tree;fruit tree;citrus plant;fruit;linden tree;sweet"			
"disability insurance"	"C"	"4.45"	"4.8"	"4.73"	"4.67"	"disability;disability;economic assistance;disability coverage;disability coverage;sweet"	"disabled coverage"		"social security"
"double cross"	"NC"	"1.14"	"0.7"	"0.7"	"0.6"	"betray;betray;betrayal;betrayal;deceive;sweet"			
"loan shark"	"PC"	"1.0"	"0.83"	"1.2"	"1.1"	"usurer;usurer;money lender;moneylender;predatory lender;collection agent;unscrupulous lender"			
"smoking gun"	"NC"	"0.71"	"1.2"	"0.4"	"0.0"	"evidence;evidence;conclusive evidence;damning evidence;blameworthy;clue;sweet"		"incriminating evidence"	"proof"
"loose woman"	"PC"	"2.53"	"1.9"	"2.3"	"1.6"	"slut;slut;floozy;prostitute;prostitute;hussy;sweet"			
"smoking jacket"	"NC"	"2.32"	"1.18"	"0.91"	"0.8"	"lounging jacket;velour coat;sportcoat;hot;dinner jacket;sweet;armour"			"tuxedo"
"mail service"	"C"	"4.69"	"4.5"	"4.7"	"4.75"	"postal service;postal service;post office;snail mail"		"email"	"mail"
"double dutch"	"NC"	"0.29"	"0.2"	"1.36"	"1.0"	"gibberish;babble;gabble;sweet"	"fake;double talk"	"gobbledygook"	"nonsense"
"radioactive waste"	"C"	"4.58"	"4.64"	"5.0"	"4.7"	"nuclear waste;toxic waste;contamination;sweet"			
"snail mail"	"NC"	"1.31"	"0.6"	"0.7"	"1.8"	"regular mail;regular mail;postal service;postal service;post;us postal service;physical mail"		"usps"	"postal mail;paper mail"
"market place"	"C"	"3.0"	"2.9"	"3.3"	"1.9"	"store;food selling;forum"			"stores"
"double whammy"	"NC"	"2.48"	"3.2"	"1.91"	"2.33"	"jinx;jinx;twofold blow;twofold blow;hex;double blow;sweet"			
"rainy season"	"C"	"4.23"	"4.8"	"4.7"	"4.3"	"wet season;wet season;monsoon season;monsoon;wet period"	"wet time"		
"mental disorder"	"PC"	"4.89"	"4.55"	"4.5"	"4.9"	"mental illness;mental illness;insanity;psychosis;sweet"	"craziness"	"psychological problems"	
"rice paper"	"PC"	"4.0"	"3.4"	"3.2"	"3.8"	"thin paper;thin paper;paper made of rice;paper made of rice;parchment;sweet;sweet;paper"			
"middle school"	"C"	"3.84"	"3.9"	"2.91"	"4.0"	"junior high;junior high;junior high school;7th grade;sweet"	"intermediate school"		"jr. high"
"snake oil"	"NC"	"0.75"	"0.0"	"0.7"	"1.18"	"fake;quack remedy;quack remedy;fraud"			"medicine"
"milk tooth"	"PC"	"1.43"	"1.36"	"2.4"	"1.2"	"baby teeth;baby teeth;baby tooth;baby tooth;sweet"	"deciduous tooth;primary tooth"		
"shelf life"	"NC"	"1.3"	"2.2"	"1.3"	"1.64"	"expiration date;expiration date"	"life span"		"life expectancy"
